registration,vote_intention,vote_2020,state,education,gender,age,household_income,vote_trump,race
Registered,"Yes, I will vote",Donald Trump,WI,Associate Degree,Female,41 to 50,"$75,000 to $79,999",1,White
Registered,"Yes, I will vote",Donald Trump,VA,"College Degree (such as B.A., B.S.)",Female,41 to 50,"$175,000 to $199,999",1,White
Registered,"Yes, I will vote",Donald Trump,TX,High school graduate,Female,71 to 80,"$65,000 to $69,999",1,White
Registered,"Yes, I will vote",Donald Trump,WA,High school graduate,Female,51 to 60,"Less than $14,999",1,White
Registered,"Yes, I will vote",Joe Biden,MA,High school graduate,Female,18 to 30,"$80,000 to $84,999",0,White
Registered,"Yes, I will vote",Joe Biden,TX,High school graduate,Female,31 to 40,"Less than $14,999",0,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,CA,High school graduate,Female,61 to 70,"$40,000 to $44,999",1,White
Registered,"Yes, I will vote",Donald Trump,NC,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Donald Trump,MD,"College Degree (such as B.A., B.S.)",Female,71 to 80,"$20,000 to $24,999",1,White
Registered,"Yes, I will vote",Joe Biden,FL,High school graduate,Female,51 to 60,"$60,000 to $64,999",0,White
Registered,"Yes, I will vote",Donald Trump,WV,High school graduate,Female,61 to 70,"$15,000 to $19,999",1,White
Registered,"Yes, I will vote",Joe Biden,OH,High school graduate,Female,41 to 50,"$30,000 to $34,999",0,White
Registered,"Yes, I will vote",Joe Biden,NY,"College Degree (such as B.A., B.S.)",Female,above 80,"$30,000 to $34,999",0,White
Registered,"Yes, I will vote",Joe Biden,KY,High school graduate,Female,18 to 30,"$40,000 to $44,999",0,White
Registered,"Yes, I will vote",Donald Trump,IN,"College Degree (such as B.A., B.S.)",Male,71 to 80,"$150,000 to $174,999",1,White
Registered,"Yes, I will vote",Joe Biden,WA,"College Degree (such as B.A., B.S.)",Male,41 to 50,"Less than $14,999",0,White
Registered,"Yes, I will vote",Donald Trump,IA,"College Degree (such as B.A., B.S.)",Female,71 to 80,"$40,000 to $44,999",1,White
Registered,"Yes, I will vote",Donald Trump,SC,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$75,000 to $79,999",1,White
Registered,"Yes, I will vote",Joe Biden,MN,Associate Degree,Male,61 to 70,"$85,000 to $89,999",0,White
Registered,"Yes, I will vote",Donald Trump,GA,High school graduate,Female,61 to 70,"$90,000 to $94,999",1,White
Registered,"Yes, I will vote",Donald Trump,PA,Masters degree,Female,31 to 40,"$75,000 to $79,999",1,White
Registered,"Yes, I will vote",Joe Biden,NJ,"College Degree (such as B.A., B.S.)",Female,61 to 70,"$60,000 to $64,999",0,White
Registered,"Yes, I will vote",Donald Trump,VA,Associate Degree,Female,31 to 40,"$30,000 to $34,999",1,White
Registered,"Yes, I will vote",Donald Trump,SC,High school graduate,Female,71 to 80,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Donald Trump,TX,Associate Degree,Female,61 to 70,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Joe Biden,FL,High school graduate,Female,18 to 30,"Less than $14,999",0,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,AZ,Masters degree,Female,61 to 70,"$65,000 to $69,999",0,White
Registered,"Yes, I will vote",Joe Biden,IL,Masters degree,Male,71 to 80,"$45,000 to $49,999",0,White
Registered,"Yes, I will vote",Donald Trump,OH,High school graduate,Male,61 to 70,"$75,000 to $79,999",1,White
Registered,"Yes, I will vote",Joe Biden,OH,Masters degree,Female,51 to 60,"$80,000 to $84,999",0,White
Registered,"Yes, I will vote",Joe Biden,CA,High school graduate,Male,71 to 80,"$40,000 to $44,999",0,White
Registered,"Yes, I will vote",Donald Trump,FL,Completed some high school,Female,31 to 40,"$20,000 to $24,999",1,White
Registered,"Yes, I will vote",Joe Biden,NC,"College Degree (such as B.A., B.S.)",Female,61 to 70,"$65,000 to $69,999",0,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,TX,"College Degree (such as B.A., B.S.)",Male,31 to 40,"$200,000 to $249,999",0,White
Registered,"Yes, I will vote",Joe Biden,FL,Doctorate degree,Female,31 to 40,"$150,000 to $174,999",0,White
Registered,"Yes, I will vote",Joe Biden,TX,"College Degree (such as B.A., B.S.)",Female,31 to 40,"$95,000 to $99,999",0,White
Registered,"Yes, I will vote",Joe Biden,NJ,"College Degree (such as B.A., B.S.)",Female,41 to 50,"$80,000 to $84,999",0,White
Registered,"Yes, I will vote",Donald Trump,OR,High school graduate,Female,71 to 80,"Less than $14,999",1,White
Registered,"Yes, I will vote",Donald Trump,PA,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$25,000 to $29,999",1,White
Registered,"Yes, I will vote",Joe Biden,PA,"College Degree (such as B.A., B.S.)",Female,71 to 80,"$100,000 to $124,999",0,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,NC,High school graduate,Female,61 to 70,"$80,000 to $84,999",0,White
Registered,"Yes, I will vote",Donald Trump,TX,High school graduate,Female,31 to 40,"$35,000 to $39,999",1,White
Registered,"Yes, I will vote",Donald Trump,VA,Masters degree,Male,31 to 40,"$75,000 to $79,999",1,other asian or pacific islander
Registered,"Yes, I will vote",Donald Trump,OH,Masters degree,Male,61 to 70,"$95,000 to $99,999",1,White
Registered,"Yes, I will vote",Joe Biden,CA,"College Degree (such as B.A., B.S.)",Female,31 to 40,"$125,000 to $149,999",0,Chinese
Registered,"Yes, I will vote",Joe Biden,IL,Masters degree,Female,51 to 60,"$85,000 to $89,999",0,White
Registered,"Yes, I will vote",Donald Trump,NC,"College Degree (such as B.A., B.S.)",Female,71 to 80,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Joe Biden,MI,High school graduate,Female,51 to 60,"$50,000 to $54,999",0,White
Registered,"Yes, I will vote",Joe Biden,CA,Masters degree,Female,18 to 30,"$150,000 to $174,999",0,White
Registered,"Yes, I will vote",Joe Biden,MI,High school graduate,Female,41 to 50,"$65,000 to $69,999",0,White
Registered,"Yes, I will vote",Joe Biden,CT,Completed some high school,Male,31 to 40,"$30,000 to $34,999",0,White
Registered,"Yes, I will vote",Donald Trump,NC,"College Degree (such as B.A., B.S.)",Female,61 to 70,"$50,000 to $54,999",1,White
Registered,"Yes, I will vote",Donald Trump,CT,Associate Degree,Female,71 to 80,"$45,000 to $49,999",1,White
Registered,"Yes, I will vote",Donald Trump,NC,Masters degree,Female,31 to 40,"$40,000 to $44,999",1,White
Registered,"Yes, I will vote",Donald Trump,OR,Associate Degree,Female,61 to 70,"$30,000 to $34,999",1,White
Registered,"Yes, I will vote",Donald Trump,IL,Masters degree,Female,61 to 70,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Donald Trump,CA,Masters degree,Female,51 to 60,"$30,000 to $34,999",1,White
Registered,"Yes, I will vote",Joe Biden,FL,Masters degree,Female,61 to 70,"$150,000 to $174,999",0,White
Registered,"Yes, I will vote",Joe Biden,IA,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$35,000 to $39,999",0,White
Registered,"Yes, I will vote",Donald Trump,GA,Masters degree,Female,51 to 60,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Joe Biden,NY,Masters degree,Female,61 to 70,"$75,000 to $79,999",0,White
Registered,"Yes, I will vote",Joe Biden,WA,Associate Degree,Female,61 to 70,"$25,000 to $29,999",0,White
Registered,"Yes, I will vote",Joe Biden,MI,High school graduate,Female,31 to 40,"$60,000 to $64,999",0,White
Registered,"Yes, I will vote",Joe Biden,OH,High school graduate,Female,41 to 50,"$55,000 to $59,999",0,White
Registered,"Yes, I will vote",Donald Trump,IL,High school graduate,Female,18 to 30,"$45,000 to $49,999",1,White
Registered,"Yes, I will vote",Joe Biden,MA,High school graduate,Female,61 to 70,"$90,000 to $94,999",0,White
Registered,"Yes, I will vote",Joe Biden,MO,Masters degree,Female,31 to 40,"$80,000 to $84,999",0,Chinese
Registered,"Yes, I will vote",Joe Biden,CO,Masters degree,Female,41 to 50,"$60,000 to $64,999",0,White
Registered,"Yes, I will vote",Donald Trump,NC,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$90,000 to $94,999",1,White
Registered,"Yes, I will vote",Joe Biden,NY,Masters degree,Female,61 to 70,"$70,000 to $74,999",0,White
Registered,"Yes, I will vote",Donald Trump,IN,High school graduate,Female,51 to 60,"$60,000 to $64,999",1,White
Registered,"Yes, I will vote",Joe Biden,CA,"College Degree (such as B.A., B.S.)",Female,31 to 40,"$50,000 to $54,999",0,Chinese
Registered,"Yes, I will vote",Donald Trump,FL,High school graduate,Female,18 to 30,"$250,000 and above",1,White
Registered,"Yes, I will vote",Donald Trump,PA,High school graduate,Female,71 to 80,"$65,000 to $69,999",1,White
Registered,"Yes, I will vote",Donald Trump,SC,High school graduate,Female,31 to 40,"$25,000 to $29,999",1,White
Registered,"Yes, I will vote",Donald Trump,IL,Masters degree,Female,51 to 60,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Joe Biden,OH,High school graduate,Female,61 to 70,"$15,000 to $19,999",0,White
Registered,"Yes, I will vote",Donald Trump,NY,Masters degree,Male,41 to 50,"$90,000 to $94,999",1,White
Registered,"Yes, I will vote",Donald Trump,IA,High school graduate,Male,61 to 70,"$65,000 to $69,999",1,White
Registered,"Yes, I will vote",Donald Trump,WI,Masters degree,Female,51 to 60,"$125,000 to $149,999",1,White
Registered,"Yes, I will vote",Joe Biden,CT,"College Degree (such as B.A., B.S.)",Female,18 to 30,"$85,000 to $89,999",0,White
Registered,"Yes, I will vote",Donald Trump,PA,High school graduate,Female,51 to 60,"$30,000 to $34,999",1,White
Registered,"Yes, I will vote",Joe Biden,NJ,"College Degree (such as B.A., B.S.)",Female,71 to 80,"$100,000 to $124,999",0,White
Registered,"Yes, I will vote",Joe Biden,DC,Masters degree,Female,31 to 40,"$60,000 to $64,999",0,White
Registered,"Yes, I will vote",Joe Biden,PA,Masters degree,Male,61 to 70,"$100,000 to $124,999",0,White
Registered,"Yes, I will vote",Joe Biden,NY,Masters degree,Female,31 to 40,"$150,000 to $174,999",0,White
Registered,"Yes, I will vote",Donald Trump,FL,Masters degree,Male,41 to 50,"$150,000 to $174,999",1,White
Registered,"Yes, I will vote",Joe Biden,FL,Completed some high school,Male,18 to 30,"Less than $14,999",0,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,NY,High school graduate,Male,41 to 50,"Less than $14,999",0,Chinese
Registered,"Yes, I will vote",Donald Trump,GA,Associate Degree,Female,51 to 60,"$30,000 to $34,999",1,White
Registered,"Yes, I will vote",Donald Trump,IL,High school graduate,Female,51 to 60,"$90,000 to $94,999",1,White
Registered,"Yes, I will vote",Joe Biden,NM,High school graduate,Male,61 to 70,"$55,000 to $59,999",0,White
Registered,"Yes, I will vote",Joe Biden,TN,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$100,000 to $124,999",0,White
Registered,"Yes, I will vote",Joe Biden,CA,"College Degree (such as B.A., B.S.)",Female,41 to 50,"$25,000 to $29,999",0,Chinese
Registered,"Yes, I will vote",Donald Trump,NC,"College Degree (such as B.A., B.S.)",Female,31 to 40,"$55,000 to $59,999",1,White
Registered,"Yes, I will vote",Donald Trump,VA,High school graduate,Female,61 to 70,"$40,000 to $44,999",1,White
Registered,"Yes, I will vote",Donald Trump,MN,"College Degree (such as B.A., B.S.)",Male,31 to 40,"$45,000 to $49,999",1,White
Registered,"Yes, I will vote",Donald Trump,WI,Associate Degree,Male,71 to 80,"$25,000 to $29,999",1,White
Registered,"Yes, I will vote",Joe Biden,PA,Masters degree,Female,31 to 40,"$100,000 to $124,999",0,White
Registered,"Yes, I will vote",Joe Biden,OK,High school graduate,Female,18 to 30,"$30,000 to $34,999",0,White
Registered,"Yes, I will vote",Donald Trump,IL,Masters degree,Female,61 to 70,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Donald Trump,FL,Masters degree,Male,41 to 50,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Donald Trump,TX,Doctorate degree,Female,41 to 50,"$55,000 to $59,999",1,White
Registered,"Yes, I will vote",Donald Trump,OH,"College Degree (such as B.A., B.S.)",Male,51 to 60,"$15,000 to $19,999",1,White
Registered,"Yes, I will vote",Joe Biden,AZ,Associate Degree,Male,61 to 70,"$50,000 to $54,999",0,White
Registered,"Yes, I will vote",Donald Trump,NJ,"College Degree (such as B.A., B.S.)",Female,41 to 50,"$125,000 to $149,999",1,White
Registered,"Yes, I will vote",Joe Biden,CO,High school graduate,Male,61 to 70,"$40,000 to $44,999",0,White
Registered,"Yes, I will vote",Joe Biden,PA,Masters degree,Male,51 to 60,"$40,000 to $44,999",0,other asian or pacific islander
Registered,"Yes, I will vote",Joe Biden,OH,High school graduate,Female,41 to 50,"$40,000 to $44,999",0,White
Registered,"Yes, I will vote",Joe Biden,HI,Associate Degree,Male,61 to 70,"$25,000 to $29,999",0,Japanese
Registered,"Yes, I will vote",Joe Biden,CT,Masters degree,Male,51 to 60,"$95,000 to $99,999",0,White
Registered,"Yes, I will vote",Joe Biden,FL,Masters degree,Female,31 to 40,"$150,000 to $174,999",0,White
Registered,"Yes, I will vote",Joe Biden,NJ,Associate Degree,Female,61 to 70,"$60,000 to $64,999",0,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,TX,High school graduate,Female,51 to 60,"Less than $14,999",1,White
Registered,"Yes, I will vote",Donald Trump,TX,Associate Degree,Male,71 to 80,"$80,000 to $84,999",1,White
Registered,"Yes, I will vote",Donald Trump,MT,Masters degree,Male,above 80,"$100,000 to $124,999",1,White
Registered,"Yes, I will vote",Joe Biden,PA,High school graduate,Female,61 to 70,"$15,000 to $19,999",0,White
Registered,"Yes, I will vote",Donald Trump,CA,"College Degree (such as B.A., B.S.)",Male,above 80,"$40,000 to $44,999",1,Chinese
Registered,"Yes, I will vote",Donald Trump,TN,High school graduate,Female,61 to 70,"$45,000 to $49,999",1,White
Registered,"Yes, I will vote",Joe Biden,NC,High school graduate,Female,61 to 70,"$30,000 to $34,999",0,White
Registered,"Yes, I will vote",Donald Trump,PA,High school graduate,Female,18 to 30,"$15,000 to $19,999",1,White
Registered,"Yes, I will vote",Joe Biden,CT,Associate Degree,Female,41 to 50,"$75,000 to $79,999",0,Other race
Registered,"Yes, I will vote",Donald Trump,TN,Doctorate degree,Female,31 to 40,"$100,000 to $124,999",1,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,TN,"College Degree (such as B.A., B.S.)",Female,51 to 60,"$175,000 to $199,999",1,White
Registered,"Yes, I will vote",Joe Biden,IL,High school graduate,Female,51 to 60,"$100,000 to $124,999",0,White
Registered,"Yes, I will vote",Joe Biden,CT,High school graduate,Female,31 to 40,"Less than $14,999",0,White
Registered,"Yes, I will vote",Joe Biden,WI,High school graduate,Female,61 to 70,"$55,000 to $59,999",0,White
Registered,"Yes, I will vote",Joe Biden,FL,"College Degree (such as B.A., B.S.)",Female,31 to 40,"$45,000 to $49,999",0,White
Registered,"Yes, I will vote",Joe Biden,VT,High school graduate,Female,61 to 70,"$15,000 to $19,999",0,White
Registered,"Yes, I will vote",Joe Biden,NY,"College Degree (such as B.A., B.S.)",Male,18 to 30,"$150,000 to $174,999",0,White
